Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
9	9.408379778449918e-05	1.7054190510740475e-07	332.2764587402344	883.9519653320312	332.27667236328125	883.9520263671875	0.000213623046875	3.872258799794458e-07	1	0.000213623046875	3.872258799794458e-07	1	37.32672784391534	1
8	0.004071905280757413	7.380978450592289e-06	332.2764587402344	883.9519653320312	332.2726135253906	883.947998046875	0.00384521484375	6.970065839630025e-06	1	0.00384521484375	6.970065839630025e-06	1	38.0005326829806	1
7	0.4551692027221491	0.0008250668532349897	332.2764587402344	883.9519653320312	332.313720703125	881.6028442382812	0.037261962890625	6.754325706498619e-05	1	0.037261962890625	6.754325706498619e-05	1	427.5844992835097	1
6	3.133400785725373	0.005679789209685639	332.2764587402344	883.9519653320312	331.4357604980469	858.6121215820312	0.188751220703125	0.00034214172395326747	1	2.618743896484375	0.004746891426702317	1	2905.9868438602293	0
5	6.672857568983048	0.012095619746678919	332.2764587402344	883.9519653320312	329.2137145996094	855.596923828125	0.46319580078125	0.0008396163437611469	1	8.8028564453125	0.015956582790261586	1	6163.533513282628	0
4	9.541607971536209	0.017295687882211343	332.2764587402344	883.9519653320312	327.444091796875	770.592041015625	11.119903564453125	0.020156600638467217	1	33.708892822265625	0.06110275027521948	1	8800.362267967372	0
3	12.681673366447395	0.02298755776013221	332.2764587402344	883.9519653320312	333.3978271484375	735.7095336914062	58.527252197265625	0.10608998919543725	1	19.867645263671875	0.036013279151694104	1	12022.745850143298	0
2	16.161299193784252	0.029294935136778954	332.2764587402344	883.9519653320312	370.7069091796875	724.4888916015625	81.45486450195312	0.1476499471699398	1	9.881622314453125	0.017912018166174933	1	16774.352191358026	0
1	29.88017519353769	0.05416258827179804	332.2764587402344	883.9519653320312	478.595947265625	595.46142578125	201.07925415039062	0.364488252896967	1	60.409027099609375	0.10950100665419332	1	61904.11758212081	0
0	32.12766980576557	0.058236531096320376	332.2764587402344	883.9519653320312	532.2241821289062	532.2241821289062	199.94772338867188	0.36243717272869874	1	32.12766980576557	0.058236531096320376	3628800	100833.75324900793	1
