Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
8	0.0017589118325100584	1.584462510143283e-07	7434.0	18535.0	7433.9990234375	18535.00390625	0.0009765625	8.797067831726871e-08	1	0.0009765625	8.797067831726871e-08	1	14528.86734457672	1
7	0.0017589118325100584	1.584462510143283e-07	7434.0	18535.0	7433.9990234375	18535.00390625	0.0009765625	8.797067831726871e-08	1	0.0009765625	8.797067831726871e-08	1	14528.86734457672	1
6	0.0017587436359815917	1.5843109953892367e-07	7434.0	18535.0	7433.9990234375	18535.00390625	0.0009765625	8.797067831726871e-08	1	0.0009765625	8.797067831726871e-08	1	14523.244607032628	1
5	0.0017463509157641644	1.5731473883111112e-07	7434.0	18535.0	7433.9990234375	18535.00390625	0.0009765625	8.797067831726871e-08	1	0.0009765625	8.797067831726871e-08	1	14500.048602843915	1
4	0.0017034298528439153	1.53448324731458e-07	7434.0	18535.0	7433.99853515625	18535.00390625	0.00146484375	1.3195601747590308e-07	1	0.00146484375	1.3195601747590308e-07	1	14002.433980930335	1
3	0.0016173334138523754	1.4569258750134e-07	7434.0	18535.0	7433.99951171875	18535.00390625	0.00048828125	4.3985339158634354e-08	1	0.00048828125	4.3985339158634354e-08	1	12961.8555335097	1
2	1.785802738250248	0.00016086863690210323	7434.0	18535.0	7379.35693359375	18535.859375	54.64306640625	0.004922355319903612	1	54.64306640625	0.004922355319903612	1	43439.32784942681	1
1	136.44458089085063	0.012291197269691977	7434.0	18535.0	7681.41748046875	18205.470703125	370.1640625	0.03334510967480407	1	112.41748046875	0.010126788619831547	1	129371.80743496472	0
0	1533.1763795129416	0.1381115556718261	7434.0	18535.0	13010.927734375	13010.927734375	5576.927734375	0.5023806624966219	1	1533.1763795129416	0.1381115556718261	362880	5096.908991953263	1
