Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
8	0.00037785383759352263	6.20755442079058e-08	84.0	6171.0	83.99932861328125	6171.00146484375	0.0002687627618963068	4.41535669289152e-08	44	0.00067138671875	1.1029845880565138e-07	2	1411.804943783069	2
7	0.00037785383759352263	6.20755442079058e-08	84.0	6171.0	83.99932861328125	6171.00146484375	0.0002687627618963068	4.41535669289152e-08	44	0.00067138671875	1.1029845880565138e-07	2	1411.804943783069	2
6	0.00037787246535905036	6.207860446181212e-08	84.0	6171.0	83.99932861328125	6171.00146484375	0.0002687627618963068	4.41535669289152e-08	44	0.00067138671875	1.1029845880565138e-07	2	1412.1541832010582	2
5	0.0003775241303485958	6.202137840456642e-08	84.0	6171.0	83.99932861328125	6171.00146484375	0.0002819408069957386	4.631851601704265e-08	44	0.00067138671875	1.1029845880565138e-07	2	1403.1321483686067	2
4	1.0577880459908244	0.00017377822342546812	84.0	6171.0	82.8914794921875	6170.76806640625	0.8288778825239702	0.00013617182233020703	44	1.1085205078125	0.00018211278262074914	2	8482.122382054673	2
3	7.09752079435547	0.0011660129446945079	84.0	6171.0	87.97602844238281	6173.43212890625	6.56618915904652	0.0010787233709621355	44	3.9760284423828125	0.0006532000069628409	2	19080.95998126102	2
2	36.75218113406415	0.00603781520191624	84.0	6171.0	-34.863311767578125	6185.74609375	8.345964951948686	0.0013711130198699993	44	164.86331176757812	0.027084493472577315	2	39538.34334766314	0
1	173.20210009415945	0.028454427483844167	84.0	6171.0	-194.614501953125	5677.97412109375	114.38209811123934	0.0187912104667717	44	324.614501953125	0.05332914439841055	2	41689.06470458554	0
0	906.7217681857854	0.14896036934216944	84.0	6171.0	2668.764892578125	2668.764892578125	2584.764892578125	0.424636913517024	44	906.7217681857854	0.14896036934216944	362880	2211.9905313051145	44
