Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
9	0.002134331866336668	1.6733295698445063e-07	9535.0	22290.0	9534.99609375	22290.001953125	0.00341796875	2.6797089376715016e-07	2	0.00390625	3.0625245001960016e-07	1	35818.89308173501	1
8	0.002134331866336668	1.6733295698445063e-07	9535.0	22290.0	9534.99609375	22290.001953125	0.00341796875	2.6797089376715016e-07	2	0.00390625	3.0625245001960016e-07	1	35818.89308173501	1
7	0.0021342390218529544	1.6732567791869497e-07	9535.0	22290.0	9534.99609375	22290.001953125	0.00341796875	2.6797089376715016e-07	2	0.00390625	3.0625245001960016e-07	1	35809.403525683425	1
6	0.002130425401045111	1.6702668765543797e-07	9535.0	22290.0	9534.9951171875	22290.001953125	0.00390625	3.0625245001960016e-07	2	0.0048828125	3.828155625245002e-07	1	35837.998776179455	1
5	0.002097424973045497	1.644394334022342e-07	9535.0	22290.0	9534.99609375	22290.001953125	0.00390625	3.0625245001960016e-07	2	0.00390625	3.0625245001960016e-07	2	35220.784411651235	2
4	0.002028647663311563	1.5904724918162e-07	9535.0	22290.0	9534.9951171875	22290.0	0.00439453125	3.445340062720502e-07	2	0.0048828125	3.828155625245002e-07	1	33560.236902281744	1
3	0.001952632251450204	1.530875932144417e-07	9535.0	22290.0	9534.99609375	22290.001953125	0.00341796875	2.6797089376715016e-07	2	0.00390625	3.0625245001960016e-07	1	31532.885125661374	1
2	0.0018545548373429233	1.4539826243378467e-07	9535.0	22290.0	9534.9990234375	22290.001953125	0.0009765625	7.656311250490004e-08	2	0.0009765625	7.656311250490004e-08	2	29036.00903053351	2
1	163.24507138798896	0.012798515984946213	9535.0	22290.0	9893.900390625	21931.099609375	556.60107421875	0.043637873321736576	2	32.099609375	0.0025166295080360644	1	76146.29246141975	0
0	1664.2439699074075	0.13047777106290925	9535.0	22290.0	15912.5029296875	15912.5029296875	6377.5029296875	0.5000002296893375	2	1664.2439699074075	0.13047777106290925	3628800	6140.5	2
