Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
8	0.00023779642014276414	8.976837302482602e-08	112.0	2761.0	111.99993133544922	2761.000244140625	0.00018594161323879076	7.019313448047971e-08	2760	6.866455078125e-05	2.592093272225368e-08	36	0.5236276455026455	36
7	0.00023779642014276414	8.976837302482602e-08	112.0	2761.0	111.99993133544922	2761.000244140625	0.00018594161323879076	7.019313448047971e-08	2760	6.866455078125e-05	2.592093272225368e-08	36	0.5236276455026455	36
6	0.00023779642014276414	8.976837302482602e-08	112.0	2761.0	111.99993133544922	2761.000244140625	0.00018594161323879076	7.019313448047971e-08	2760	6.866455078125e-05	2.592093272225368e-08	36	0.5236276455026455	36
5	0.00023783350747729105	8.978237352861119e-08	112.0	2761.0	111.99993133544922	2761.000244140625	0.00018587527067764946	7.016809010103792e-08	2760	6.866455078125e-05	2.592093272225368e-08	30	0.5236276455026455	30
4	0.9498481956108538	0.000358568590264573	112.0	2761.0	103.13348388671875	2761.96728515625	1.120386787082838	0.00042294706949144506	2760	8.86651611328125	0.003347118200559173	18	3123.13167989418	18
3	10.86966813443199	0.0041033099790230235	112.0	2761.0	58.502498626708984	2859.1337890625	11.540468995467476	0.004356537937133815	2760	53.497501373291016	0.0201953572568105	6	6694.773082010582	6
2	33.67564875749999	0.012712589187429216	112.0	2761.0	-17.20588493347168	2711.38623046875	33.62035045001818	0.012691714024166923	2760	129.20588493347168	0.04877534350074431	6	6977.901984126984	6
1	112.07056018387279	0.04230674223626757	112.0	2761.0	-177.1697235107422	2177.018310546875	140.66798701649128	0.05310229785447009	2760	363.1697235107422	0.13709691336758859	6	7175.887863756614	0
0	455.22829079602764	0.17184910939827394	112.0	2761.0	1020.93310546875	1020.93310546875	908.93310546875	0.34312310512221594	2760	455.22829079602764	0.17184910939827394	362880	345.087037037037	2760
