Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
7	0.0002340191886538551	7.121703854347386e-08	0.0	3286.0	-0.00030517578125	3286.000732421875	0.00020455694817877434	6.225104935446571e-08	924	0.00030517578125	9.287150981436396e-08	6	0.0	6
6	0.0002340191886538551	7.121703854347386e-08	0.0	3286.0	-0.00030517578125	3286.000732421875	0.00020455694817877434	6.225104935446571e-08	924	0.00030517578125	9.287150981436396e-08	6	0.0	6
5	0.0002340191886538551	7.121703854347386e-08	0.0	3286.0	-0.00030517578125	3286.000732421875	0.00020455694817877434	6.225104935446571e-08	924	0.00030517578125	9.287150981436396e-08	6	0.0	6
4	0.0002342246827625093	7.127957479078189e-08	0.0	3286.0	-0.00030517578125	3286.000732421875	0.00020247620421570616	6.161783451482232e-08	924	0.00030517578125	9.287150981436396e-08	6	0.0	6
3	6.984260184424264	0.0021254595813829168	0.0	3286.0	-41.019683837890625	3293.3974609375	7.189595061463195	0.002187947371108702	924	41.019683837890625	0.012483166110131049	6	2177.5895833333334	6
2	22.62237182004111	0.006884471034705146	0.0	3286.0	-159.43789672851562	3310.27392578125	26.768447380561334	0.008146210401875026	924	159.43789672851562	0.04852035810362618	6	2771.298363095238	6
1	107.63702368055071	0.03275624579444635	0.0	3286.0	-366.016845703125	3283.724853515625	155.10207763275542	0.04720087572512338	924	366.016845703125	0.11138674549699483	6	2905.6230654761903	6
0	665.3099446251279	0.20246802940509065	0.0	3286.0	1393.9310302734375	1393.9310302734375	1393.9310302734375	0.4242029915622147	924	665.3099446251279	0.20246802940509065	40320	442.08169642857143	924
