Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
7	0.0008044591025700645	1.0362734800593386e-07	2178.0	9941.0	2178.00048828125	9941.001953125	0.00048828125	6.289852505474687e-08	1	0.00048828125	6.289852505474687e-08	1	2267.4522569444443	1
6	0.0008044591025700645	1.0362734800593386e-07	2178.0	9941.0	2178.00048828125	9941.001953125	0.00048828125	6.289852505474687e-08	1	0.00048828125	6.289852505474687e-08	1	2267.4522569444443	1
5	0.000804198734343998	1.035938083658377e-07	2178.0	9941.0	2178.00048828125	9941.001953125	0.00048828125	6.289852505474687e-08	1	0.00048828125	6.289852505474687e-08	1	2270.0374503968255	1
4	0.0007995181613498264	1.0299087483573701e-07	2178.0	9941.0	2178.00048828125	9941.001953125	0.00048828125	6.289852505474687e-08	1	0.00048828125	6.289852505474687e-08	1	2232.7624751984126	1
3	11.113229412502713	0.0014315637527376934	2178.0	9941.0	2177.834228515625	9959.765625	0.165771484375	2.1354049256086564e-05	1	0.165771484375	2.1354049256086564e-05	1	12386.401438492063	1
2	39.681806564331055	0.005111658709819793	2178.0	9941.0	2076.35498046875	10090.8017578125	50.496826171875	0.006504808214849285	1	137.64501953125	0.01773090551735798	1	14104.05726686508	0
1	181.2844922746931	0.02335237566336379	2178.0	9941.0	2227.981201171875	9483.6572265625	436.14990234375	0.05618316402727683	1	345.018798828125	0.04444400345589656	1	16916.867857142857	0
0	1252.0633748372395	0.16128602020317398	2178.0	9941.0	5963.2626953125	5963.2626953125	3785.2626953125	0.48760307810285974	1	1252.0633748372395	0.16128602020317398	40320	3077.65873015873	1
