Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
8	0.0018327527996514	2.5279348960708967e-07	7103.0	14353.0	7103.00146484375	14353.0029296875	0.00146484375	2.0204741379310344e-07	1	0.00146484375	2.0204741379310344e-07	1	7266.455646494709	1
7	0.0018327527996514	2.5279348960708967e-07	7103.0	14353.0	7103.00146484375	14353.0029296875	0.00146484375	2.0204741379310344e-07	1	0.00146484375	2.0204741379310344e-07	1	7266.455646494709	1
6	0.0018308541972380677	2.5253161341214725e-07	7103.0	14353.0	7103.00146484375	14353.0029296875	0.00146484375	2.0204741379310344e-07	1	0.00146484375	2.0204741379310344e-07	1	7266.058969907407	1
5	0.0018224847379815642	2.5137720523883644e-07	7103.0	14353.0	7103.00146484375	14353.0029296875	0.00146484375	2.0204741379310344e-07	1	0.00146484375	2.0204741379310344e-07	1	7247.014798280423	1
4	0.001774329399095431	2.447350895304043e-07	7103.0	14353.0	7103.00146484375	14353.0029296875	0.00146484375	2.0204741379310344e-07	1	0.00146484375	2.0204741379310344e-07	1	6937.218532297178	1
3	1.3298192813072676	0.00018342334914583	7103.0	14353.0	7099.19140625	14353.171875	3.80859375	0.0005253232758620689	1	3.80859375	0.0005253232758620689	1	122969.60751212522	1
2	10.030884379768708	0.0013835702592784424	7103.0	14353.0	7103.54541015625	14358.513671875	0.54541015625	7.522898706896552e-05	1	0.54541015625	7.522898706896552e-05	1	136202.20706569665	1
1	109.6709810112309	0.015127031863618055	7103.0	14353.0	7130.0537109375	14189.3447265625	27.0537109375	0.0037315463362068966	1	27.0537109375	0.0037315463362068966	1	157343.97114748677	1
0	1058.390767426129	0.14598493343808677	7103.0	14353.0	10709.869140625	10709.869140625	3606.869140625	0.49749919181034485	1	1058.390767426129	0.14598493343808677	362880	3360.8738343253967	1
