Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
8	0.0016257701517202656	1.4646577943425815e-07	6005.0	17105.0	6005.0	17105.001953125	0.0	0.0	1	0.0	0.0	1	11477.004546957673	1
7	0.0016257701517202656	1.4646577943425815e-07	6005.0	17105.0	6005.0	17105.001953125	0.0	0.0	1	0.0	0.0	1	11477.004546957673	1
6	0.001625176754367835	1.4641232021331847e-07	6005.0	17105.0	6005.0	17105.001953125	0.0	0.0	1	0.0	0.0	1	11486.936695326278	1
5	0.0016143395156456679	1.454359924005106e-07	6005.0	17105.0	6005.0	17105.001953125	0.0	0.0	1	0.0	0.0	1	11436.090286044973	1
4	0.0015822395445808531	1.4254410311539218e-07	6005.0	17105.0	6005.00048828125	17105.001953125	0.00048828125	4.39893018018018e-08	1	0.00048828125	4.39893018018018e-08	1	10968.875361000883	1
3	0.8950268659642133	8.063305098776697e-05	6005.0	17105.0	6010.1806640625	17103.935546875	5.1806640625	0.0004667264921171171	1	5.1806640625	0.0004667264921171171	1	51006.789167217816	1
2	9.65198403817636	0.0008695481115474199	6005.0	17105.0	6037.49560546875	17113.23046875	32.49560546875	0.0029275320242117117	1	32.49560546875	0.0029275320242117117	1	70053.36304012345	1
1	136.98943600124784	0.012341390630743049	6005.0	17105.0	6524.0185546875	16744.052734375	722.642578125	0.06510293496621622	1	335.0185546875	0.030181851773648648	1	153533.6829337522	0
0	1499.3713258504447	0.13507849782436437	6005.0	17105.0	11676.0693359375	11676.0693359375	5671.0693359375	0.5109071473817568	1	1499.3713258504447	0.13507849782436437	362880	5100.134904100529	1
