Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
8	7.645735928235533e-05	4.8056165482310076e-08	0.0	1591.0	-0.0002288818359375	1591.0003662109375	5.0089961066126835e-05	3.148331933760329e-08	36864	0.0002288818359375	1.4386036199717158e-07	6	0.0	6
7	7.645735928235533e-05	4.8056165482310076e-08	0.0	1591.0	-0.0002288818359375	1591.0003662109375	5.0089961066126835e-05	3.148331933760329e-08	36864	0.0002288818359375	1.4386036199717158e-07	6	0.0	6
6	7.645735928235533e-05	4.8056165482310076e-08	0.0	1591.0	-0.0002288818359375	1591.0003662109375	5.0089961066126835e-05	3.148331933760329e-08	36864	0.0002288818359375	1.4386036199717158e-07	6	0.0	6
5	7.634101259874932e-05	4.7983037459930435e-08	0.0	1591.0	-0.0002288818359375	1591.0003662109375	5.005383978063984e-05	3.146061582692636e-08	36864	0.0002288818359375	1.4386036199717158e-07	6	0.0	6
4	0.6003135225585928	0.0003773183674158346	0.0	1591.0	-3.091716766357422	1592.01953125	0.7079634725262925	0.0004449801838631631	36864	3.091716766357422	0.001943253781494294	6	2616.828835978836	6
3	4.905710365894687	0.003083413177809357	0.0	1591.0	-18.264360427856445	1592.62646484375	5.78649084742877	0.0036370149889558582	36864	18.264360427856445	0.011479799137559048	6	15327.216071428571	6
2	18.160603044034232	0.011414583937167965	0.0	1591.0	-124.29998016357422	1613.696044921875	24.97821554042942	0.01569969549995564	36864	124.29998016357422	0.07812695170557776	6	20549.177281746033	6
1	69.18356895732481	0.04348432995432106	0.0	1591.0	-192.583740234375	1555.7264404296875	75.32305185476434	0.047343212982252886	36864	192.583740234375	0.12104571982047455	12	27538.54642857143	12
0	329.30548352034634	0.20698019077331636	0.0	1591.0	505.6861572265625	505.6861572265625	505.6861572265625	0.3178417078733894	36864	329.30548352034634	0.20698019077331636	362880	436.1212962962963	36864
