Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
8	0.0024636539412133487	2.0793838126378702e-07	5527.0	17375.0	5527.001953125	17375.00390625	0.001953125	1.6484849763673195e-07	1	0.001953125	1.6484849763673195e-07	1	16838.888709766314	1
7	0.0024636539412133487	2.0793838126378702e-07	5527.0	17375.0	5527.001953125	17375.00390625	0.001953125	1.6484849763673195e-07	1	0.001953125	1.6484849763673195e-07	1	16838.888709766314	1
6	0.002463936511381173	2.0796223087282013e-07	5527.0	17375.0	5527.001953125	17375.00390625	0.001953125	1.6484849763673195e-07	1	0.001953125	1.6484849763673195e-07	1	16836.360259589947	1
5	0.0024596078055245537	2.0759687757634653e-07	5527.0	17375.0	5527.00244140625	17375.00390625	0.00244140625	2.0606062204591492e-07	1	0.00244140625	2.0606062204591492e-07	1	16802.661932319224	1
4	0.0024479416943101024	2.0661222943198027e-07	5527.0	17375.0	5527.00244140625	17375.00390625	0.00244140625	2.0606062204591492e-07	1	0.00244140625	2.0606062204591492e-07	1	16409.7550154321	1
3	0.0024232046944754463	2.045243665154833e-07	5527.0	17375.0	5527.00244140625	17375.00390625	0.00244140625	2.0606062204591492e-07	1	0.00244140625	2.0606062204591492e-07	1	15490.751322751323	1
2	0.7939070780651489	6.700768721009022e-05	5527.0	17375.0	5526.88330078125	17375.384765625	0.11669921875	9.849697733794734e-06	1	0.11669921875	9.849697733794734e-06	1	48680.346161265436	1
1	182.22877894541153	0.015380551902887537	5527.0	17375.0	5737.78466796875	17171.2890625	234.99658203125	0.019834282750780724	1	81.78466796875	0.006902824777916104	1	110930.11786541005	0
0	1807.0181847735478	0.152516727276633	5527.0	17375.0	11478.3828125	11478.3828125	5951.3828125	0.502311175936867	1	1807.0181847735478	0.152516727276633	362880	5663.419813712522	1
