Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
7	0.0008181223793635293	1.1290675950366124e-07	1755.0	9001.0	1755.0	9001.0009765625	0.00054931640625	7.580960616202042e-08	2	0.0	0.0	1	2063.7321924603175	1
6	0.0008181223793635293	1.1290675950366124e-07	1755.0	9001.0	1755.0	9001.0009765625	0.00054931640625	7.580960616202042e-08	2	0.0	0.0	1	2063.7321924603175	1
5	0.000817886231437562	1.1287416939519212e-07	1755.0	9001.0	1755.0	9001.0009765625	0.00054931640625	7.580960616202042e-08	2	0.0	0.0	1	2060.7122271825397	1
4	0.000813005840967572	1.1220064048683025e-07	1755.0	9001.0	1754.9996337890625	9001.0	0.00079345703125	1.0950276445625173e-07	2	0.0003662109375	5.053973744134695e-08	1	2020.3785218253968	1
3	10.291446367899576	0.001420293454029751	1755.0	9001.0	1768.52734375	8979.4599609375	14.69482421875	0.002027991197729782	2	5.47265625	0.0007552658363234888	1	8723.841245039683	0
2	37.24250380500914	0.005139732791196404	1755.0	9001.0	1644.80859375	9045.6748046875	114.79302978515625	0.01584226190797078	2	149.19140625	0.020589484715705215	1	12229.055109126984	0
1	188.78856825147355	0.02605417723591962	1755.0	9001.0	1559.03662109375	8548.4404296875	40.55438232421875	0.005596795794123482	2	222.96337890625	0.03077054635747309	1	17472.256026785715	0
0	1212.459328109499	0.16732808833970453	1755.0	9001.0	5120.4296875	5120.4296875	3365.4296875	0.46445344845431963	2	1212.459328109499	0.16732808833970453	40320	2465.9631696428573	2
