Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
8	0.0008024212334311618	1.414207320111318e-07	3334.0	9008.0	3334.0	9008.0	0.000244140625	4.3027956468100105e-08	12	0.0	0.0	8	3535.130285493827	8
7	0.0008024212334311618	1.414207320111318e-07	3334.0	9008.0	3334.0	9008.0	0.000244140625	4.3027956468100105e-08	12	0.0	0.0	8	3535.130285493827	8
6	0.0008022180520247741	1.41384922810147e-07	3334.0	9008.0	3334.0	9008.0	0.000244140625	4.3027956468100105e-08	12	0.0	0.0	8	3531.5610615079363	8
5	0.0008021157885354663	1.4136689963614139e-07	3334.0	9008.0	3334.0	9008.0	0.0003255208333333333	5.737060862413347e-08	12	0.0	0.0	4	3535.6532076719577	4
4	2.280199692068487	0.0004018681163321267	3334.0	9008.0	3335.1953125	9007.333984375	13.861490885416666	0.0024429839417371636	12	0.1953125	3.442236517448008e-05	6	37311.26219135802	0
3	9.235212624094054	0.001627637050421934	3334.0	9008.0	3345.58642578125	9020.7958984375	33.274129231770836	0.005864316043667754	12	10.58642578125	0.0018657782483697568	4	47514.02712191358	0
2	28.606869181207458	0.005041746418965008	3334.0	9008.0	3279.68408203125	8998.7216796875	86.927001953125	0.015320232984336447	12	54.31591796875	0.009572773699109974	2	81833.53657958553	2
1	108.91704453967867	0.019195813278054048	3334.0	9008.0	3282.696044921875	8758.05859375	177.35091145833334	0.03125676973181765	12	51.303955078125	0.009041937800163024	2	83241.47376543209	2
0	844.1045950860994	0.14876711228165304	3334.0	9008.0	6164.0166015625	6164.0166015625	2830.0166015625	0.4987692283331865	12	844.1045950860994	0.14876711228165304	362880	2545.318281525573	12
