Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
8	0.001192670818779624	1.0740911552410158e-07	3871.0	14975.0	3871.0	14975.001953125	0.0011393229166666667	1.0260472952689722e-07	6	0.0	0.0	1	12952.202044753087	1
7	0.001192670818779624	1.0740911552410158e-07	3871.0	14975.0	3871.0	14975.001953125	0.0011393229166666667	1.0260472952689722e-07	6	0.0	0.0	1	12952.202044753087	1
6	0.0011927280055993028	1.0741426563394298e-07	3871.0	14975.0	3871.0	14975.001953125	0.0011393229166666667	1.0260472952689722e-07	6	0.0	0.0	1	12962.486419753086	1
5	0.0011875273689391122	1.0694590858601515e-07	3871.0	14975.0	3871.0	14975.001953125	0.0011800130208333333	1.0626918415285782e-07	6	0.0	0.0	1	12912.704323743386	1
4	0.0011669158935546874	1.0508968782012675e-07	3871.0	14975.0	3871.0	14975.001953125	0.0008951822916666666	8.061800177113352e-08	6	0.0	0.0	1	12580.409363977073	1
3	3.880630655978302	0.0003494804265110142	3871.0	14975.0	3836.990234375	14970.42578125	34.008829752604164	0.003062754840832508	6	34.009765625	0.003062839123288905	1	128829.77216159612	1
2	17.590097644005294	0.0015841226264413988	3871.0	14975.0	3753.3466796875	14998.3427734375	97.38924153645833	0.008770644951049922	6	117.6533203125	0.010595579999324568	1	139614.8200644841	1
1	186.09925949325427	0.016759659536496243	3871.0	14975.0	3917.945068359375	14689.619140625	255.00089518229166	0.02296477802434183	6	115.054931640625	0.010361575255819974	1	162777.28550760582	0
0	1727.656916025959	0.1555886992098306	3871.0	14975.0	9332.03125	9332.03125	5461.03125	0.4918075693443804	6	1727.656916025959	0.1555886992098306	362880	5181.109143518518	6
